claim_id,claim_date,sale_id,repair_status
CL-285,17/01/2020,OID-363381,Free Replaced
CL-290,19/01/2020,OID-363359,Free Replaced
CL-291,19/01/2020,OID-363371,Free Replaced
CL-299,21/01/2020,OID-363397,Free Replaced
CL-308,23/01/2020,OID-363395,Free Replaced
CL-316,25/01/2020,OID-363325,Free Replaced
CL-323,27/01/2020,OID-363323,Free Replaced
CL-334,31/01/2020,OID-363305,Free Replaced
CL-344,02/02/2020,OID-363306,Free Replaced
CL-355,07/02/2020,OID-363225,Free Replaced
CL-356,07/02/2020,OID-363398,Free Replaced
CL-366,10/02/2020,OID-363219,Free Replaced
CL-367,10/02/2020,OID-363256,Free Replaced
CL-370,11/02/2020,OID-363278,Free Replaced
CL-371,11/02/2020,OID-363310,Free Replaced
CL-372,11/02/2020,OID-363319,Free Replaced
CL-376,12/02/2020,OID-363289,Free Replaced
CL-379,13/02/2020,OID-363247,Free Replaced
CL-380,13/02/2020,OID-363331,Free Replaced
CL-384,14/02/2020,OID-363296,Free Replaced
CL-393,16/02/2020,OID-363209,Free Replaced
CL-397,17/02/2020,OID-363277,Free Replaced
CL-398,17/02/2020,OID-363347,Free Replaced
CL-399,17/02/2020,OID-363379,Free Replaced
CL-403,18/02/2020,OID-363287,Free Replaced
CL-404,18/02/2020,OID-363311,Free Replaced
CL-409,19/02/2020,OID-363403,Free Replaced
CL-411,20/02/2020,OID-363270,Free Replaced
CL-412,20/02/2020,OID-363298,Free Replaced
CL-413,20/02/2020,OID-363389,Free Replaced
CL-421,22/02/2020,OID-363238,Free Replaced
CL-422,22/02/2020,OID-363312,Free Replaced
CL-423,22/02/2020,OID-363362,Free Replaced
CL-431,23/02/2020,OID-363285,Free Replaced
CL-432,23/02/2020,OID-363334,Free Replaced
CL-434,24/02/2020,OID-363233,Free Replaced
CL-444,26/02/2020,OID-363255,Free Replaced
CL-446,27/02/2020,OID-363265,Free Replaced
CL-447,27/02/2020,OID-363304,Free Replaced
CL-451,28/02/2020,OID-363240,Free Replaced
CL-452,28/02/2020,OID-363356,Free Replaced
CL-455,29/02/2020,OID-363314,Free Replaced
CL-458,01/03/2020,OID-363140,Free Replaced
CL-464,02/03/2020,OID-363327,Free Replaced
CL-465,02/03/2020,OID-363382,Free Replaced
CL-468,03/03/2020,OID-363250,Free Replaced
CL-469,03/03/2020,OID-363284,Free Replaced
CL-470,03/03/2020,OID-363307,Free Replaced
CL-471,03/03/2020,OID-363348,Free Replaced
CL-474,04/03/2020,OID-363137,Free Replaced
CL-475,04/03/2020,OID-363346,Free Replaced
CL-479,05/03/2020,OID-363091,Free Replaced
CL-480,05/03/2020,OID-363224,Free Replaced
CL-481,05/03/2020,OID-363236,Free Replaced
CL-487,06/03/2020,OID-363119,Free Replaced
CL-488,06/03/2020,OID-363249,Free Replaced
CL-495,07/03/2020,OID-363199,Free Replaced
CL-503,09/03/2020,OID-363045,Free Replaced
CL-504,09/03/2020,OID-363109,Free Replaced
CL-505,09/03/2020,OID-363363,Free Replaced
CL-507,10/03/2020,OID-363082,Free Replaced
CL-509,13/10/2020,OID-423635,Paid Repaired
CL-510,11/03/2020,OID-363202,Free Replaced
CL-511,11/03/2020,OID-363243,Free Replaced
CL-512,11/03/2020,OID-363396,Free Replaced
CL-514,12/03/2020,OID-363076,Free Replaced
CL-515,12/03/2020,OID-363127,Free Replaced
CL-516,12/03/2020,OID-363251,Free Replaced
CL-518,19/05/2020,OID-410968,Warranty Void
CL-521,13/03/2020,OID-363022,Free Replaced
CL-522,13/03/2020,OID-363084,Free Replaced
CL-523,13/03/2020,OID-363235,Free Replaced
CL-524,13/03/2020,OID-363344,Free Replaced
CL-528,14/03/2020,OID-363291,Free Replaced
CL-529,14/03/2020,OID-363386,Free Replaced
CL-530,13/11/2020,OID-398148,Paid Repaired
CL-540,16/03/2020,OID-363195,Free Replaced
CL-546,17/03/2020,OID-363201,Free Replaced
CL-547,17/03/2020,OID-363272,Free Replaced
CL-548,17/03/2020,OID-363353,Free Replaced
CL-552,18/03/2020,OID-363324,Free Replaced
CL-553,18/03/2020,OID-363375,Free Replaced
CL-554,24/07/2020,OID-398153,Warranty Void
CL-556,19/03/2020,OID-363301,Free Replaced
CL-560,20/03/2020,OID-363083,Free Replaced
CL-561,20/03/2020,OID-363156,Free Replaced
CL-562,20/03/2020,OID-363259,Free Replaced
CL-563,20/03/2020,OID-363292,Free Replaced
CL-567,21/03/2020,OID-363317,Free Replaced
CL-569,22/03/2020,OID-362976,Free Replaced
CL-570,22/03/2020,OID-363073,Free Replaced
CL-571,22/03/2020,OID-363123,Free Replaced
CL-577,23/03/2020,OID-363027,Free Replaced
CL-578,23/03/2020,OID-363036,Free Replaced
CL-579,23/03/2020,OID-363393,Free Replaced
CL-581,02/08/2020,OID-436406,Warranty Void
CL-589,25/03/2020,OID-363040,Free Replaced
CL-590,25/03/2020,OID-363080,Free Replaced
CL-591,25/03/2020,OID-363290,Free Replaced
CL-592,25/03/2020,OID-363341,Free Replaced
CL-595,26/03/2020,OID-363004,Free Replaced
CL-596,26/03/2020,OID-363211,Free Replaced
CL-600,27/03/2020,OID-363039,Free Replaced
CL-601,27/03/2020,OID-363053,Free Replaced
CL-602,27/03/2020,OID-363069,Free Replaced
CL-603,27/03/2020,OID-363168,Free Replaced
CL-607,28/03/2020,OID-362990,Free Replaced
CL-608,28/03/2020,OID-363170,Free Replaced
CL-609,28/03/2020,OID-363173,Free Replaced
CL-614,29/03/2020,OID-363148,Free Replaced
CL-615,29/03/2020,OID-363280,Free Replaced
CL-619,30/03/2020,OID-363067,Free Replaced
CL-620,30/03/2020,OID-363266,Free Replaced
CL-621,30/03/2020,OID-363302,Free Replaced
CL-622,01/11/2020,OID-398172,Paid Repaired
